;Name;Location;Year;Kilometers_Driven;Fuel_Type;Transmission;Owner_Type;Mileage;Engine;Power;Seats;New_Price;Price
1169;Mercedes-Benz New C-Class C 220 CDI Elegance AT;Mumbai;2010;39000;Diesel;Automatic;First;14,84;2143;170;5;;9500
1170;Maruti Swift Dzire VXi;Mumbai;2011;58075;Petrol;Manual;First;17,5;1298;85,8;5;;2950
1171;Volkswagen Vento Petrol Trendline;Mumbai;2011;58000;Petrol;Manual;First;15,04;1598;103,6;5;;3000
1172;Maruti Swift ZDi;Hyderabad;2015;58000;Diesel;Manual;First;25,2;1248;74;5;;5950
1173;Toyota Corolla Altis VL;Delhi;2008;89000;Petrol;Automatic;First;14,53;1798;138,1;5;;4000
1174;Honda Civic 2006-2010 1.8 V MT;Delhi;2008;72000;Petrol;Manual;First;13,5;1799;130;5;;2500
1175;Ford EcoSport 1.5 Ti VCT AT Titanium BE;Kolkata;2017;1800;Petrol;Automatic;First;16,05;1499;110,4;5;;11370
1176;Fiat Linea Emotion Pack (Diesel);Pune;2010;172050;Diesel;Manual;Second;19;1248;93;5;;2250
1177;Hyundai i10 Era;Jaipur;2013;46230;Petrol;Manual;First;19,81;1086;68,05;5;;3100
1178;Volvo XC60 D5 Inscription;Kochi;2014;86925;Diesel;Automatic;First;11,2;2400;215;5;;17180
1179;Hyundai i20 1.2 Asta;Jaipur;2018;5000;Petrol;Manual;First;18,6;1197;81,83;5;;6500
1180;Honda City i DTEC S;Ahmedabad;2014;66000;Diesel;Manual;First;26;1498;98,6;5;;5700
1181;Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV;Ahmedabad;2013;119000;Diesel;Manual;First;12,99;2494;100;8;;8000
1182;Renault KWID RXT;Chennai;2016;45000;Petrol;Manual;First;25,17;799;53,3;5;;2600
1183;Maruti A-Star Vxi;Hyderabad;2009;66149;Petrol;Manual;First;19;998;66,1;5;;2450
1184;Mercedes-Benz B Class B180;Kochi;2014;42070;Petrol;Automatic;First;14,8;1595;120,7;5;;11570
1185;Maruti Wagon R LXI BS IV;Kolkata;2012;35503;Petrol;Manual;First;18,9;998;67,1;5;;2300
1186;Maruti Swift VDI BSIV;Jaipur;2016;41460;Diesel;Manual;First;25,2;1248;74;5;;5900
1187;Hyundai Verna VTVT 1.6 AT SX Option;Mumbai;2015;40600;Petrol;Automatic;First;17;1591;121,3;5;15,14;7200
1188;Hyundai Verna CRDi 1.6 AT SX Option;Ahmedabad;2013;87000;Diesel;Automatic;First;22;1582;126,2;5;15,72;5900
1189;Honda City V MT;Chennai;2014;30000;Petrol;Manual;Second;16,8;1497;116,3;5;;6000
1190;Hyundai i10 Magna Optional 1.1L;Kolkata;2010;27089;Petrol;Manual;First;16;1086;66,7;5;;1950
1191;Toyota Etios GD SP;Coimbatore;2016;53702;Diesel;Manual;First;23,59;1364;67,04;5;;6550
1192;Volvo S60 D4 Momentum;Hyderabad;2015;51000;Diesel;Automatic;First;27,03;1969;190;5;45,67;25000
1193;Ford Figo Diesel EXI;Kolkata;2012;36542;Diesel;Manual;First;20;1399;68,05;5;;2650
1194;Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade;Mumbai;2017;15000;Diesel;Automatic;First;13;2987;265;5;;69500
1195;BMW 3 Series 320d Luxury Line;Chennai;2012;65000;Diesel;Automatic;First;22,69;1995;190;5;54,7;14000
1196;Maruti Alto 800 VXI;Pune;2014;32000;Petrol;Manual;Second;22,74;796;47,3;5;;2100
1197;Toyota Innova Crysta 2.4 VX MT;Hyderabad;2017;24393;Diesel;Manual;First;13,68;2393;147,8;7;22,87;20400
1198;Volkswagen Polo 1.0 MPI Trendline;Hyderabad;2019;1000;Petrol;Manual;First;18,78;999;75;5;6,74;5680
1199;Nissan Terrano XL;Mumbai;2014;28238;Petrol;Manual;First;13,24;1598;102,5;5;;5550
1200;Mitsubishi Pajero Sport 4X4;Mumbai;2013;59000;Diesel;Manual;First;13,5;2477;175,56;7;33,09;12750
1201;Honda Civic 2010-2013 1.8 S MT;Mumbai;2012;92000;Petrol;Manual;Second;14,8;1799;130,2;5;;3350
1202;Maruti Alto 800 LXI;Kolkata;2013;56840;Petrol;Manual;First;22,74;796;47,3;5;;1550
1203;Volkswagen Vento Diesel Highline;Coimbatore;2013;62746;Diesel;Manual;Second;20,54;1598;103,6;5;;5900
1204;Land Rover Freelander 2 HSE;Hyderabad;2012;96000;Diesel;Automatic;First;12,35;2179;187,74;5;;18980
1205;Honda CR-V 2.0L 2WD MT;Mumbai;2014;24000;Petrol;Manual;First;13,7;1997;153,86;5;;11510
1206;Maruti Ertiga VDI;Mumbai;2016;54000;Diesel;Manual;First;20,77;1248;88,76;7;;7750
1207;Toyota Innova 2.5 GX (Diesel) 7 Seater;Chennai;2016;90000;Diesel;Manual;First;12,99;2494;100,6;7;;13900
1208;Tata Manza Aura Safire;Kolkata;2010;40000;Petrol;Manual;First;15;1368;90;5;;1350
1209;Audi Q7 35 TDI Quattro Premium Plus;Mumbai;2015;65938;Diesel;Automatic;Second;12,07;2967;241,4;7;;38000
1210;Hyundai Verna 1.6 SX VTVT (O) AT;Mumbai;2017;16100;Petrol;Automatic;First;17,1;1591;121,4;5;;11600
1211;Volkswagen Vento 1.5 Highline Plus AT 16 Alloy;Hyderabad;2017;3600;Diesel;Automatic;First;21,5;1498;108,5;5;;12250
1212;Honda City 1.5 S MT;Jaipur;2011;52000;Petrol;Manual;First;17;1497;118;5;;3800
1213;Ford Figo Diesel Titanium;Mumbai;2014;54000;Diesel;Manual;First;20;1399;68,05;5;;3250
1214;Honda Jazz 1.2 VX i VTEC;Mumbai;2016;15399;Petrol;Manual;First;18,7;1199;88,7;5;;6400
1215;Volkswagen Polo Petrol Highline 1.2L;Bangalore;2012;75000;Petrol;Manual;Second;16,47;1198;73,9;5;;3950
1216;Honda City i-VTEC S;Delhi;2010;76752;Petrol;Manual;First;17,4;1497;117,3;5;;3570
1217;Honda City ZX GXi;Mumbai;2005;56000;Petrol;Manual;Second;17,7;1497;78;5;;1250
1218;Maruti Wagon R LXI CNG;Pune;2015;70000;CNG;Manual;First;26,2;998;58,2;5;;3650
1219;Honda CR-V 2.4L 4WD AT AVN;Kolkata;2013;46125;Petrol;Automatic;Second;12;2354;187,4;5;;12500
1220;BMW 5 Series 2013-2017 520d Luxury Line;Ahmedabad;2014;35000;Diesel;Automatic;Second;18,12;1995;190;5;;23000
1221;Ambassador Classic Nova Diesel;Chennai;2003;80000;Diesel;Manual;Third;12,8;1489;35,5;5;;1350
1222;Mahindra Scorpio VLX 2.2 mHawk BSIII;Coimbatore;2012;62729;Diesel;Manual;First;12,05;2179;120;8;;6320
1223;Volkswagen Vento Diesel Comfortline;Kolkata;2012;34000;Diesel;Manual;First;20,54;1598;103,6;5;;3400
1224;Maruti Zen VX;Jaipur;1999;70000;Petrol;Manual;Second;17,3;993;60;5;;770
1225;Maruti 800 DX BSII;Jaipur;2009;32000;Petrol;Manual;First;16,1;796;37;4;;900
1226;Toyota Corolla Altis 1.8 VL CVT;Delhi;2017;21000;Petrol;Automatic;First;14,28;1798;138,03;5;23,25;18000
1227;BMW 3 Series 328i Sport Line;Pune;2013;49000;Petrol;Automatic;First;14,59;1997;245;5;;19000
1228;Ford Ikon 1.3 Flair;Chennai;2007;40000;Petrol;Manual;Third;13,8;1299;70;5;;1100
1229;Chevrolet Beat LT;Pune;2012;78000;Petrol;Manual;Second;18,6;1199;79,4;5;;2000
1230;Toyota Corolla Altis 1.4 DG;Ahmedabad;2012;52000;Diesel;Manual;First;21,43;1364;86,79;5;19,27;6500
1231;Mahindra XUV500 W4;Bangalore;2014;65213;Diesel;Manual;First;16;2179;140;7;;9450
1232;Hyundai Xcent 1.1 CRDi Base;Mumbai;2016;170000;Diesel;Manual;First;24,4;1120;71;5;;4000
1233;Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde;Kochi;2017;36884;Diesel;Automatic;First;13;2143;204;5;;32250
1234;Hyundai i10 Sportz;Pune;2009;62500;Petrol;Manual;First;20,36;1197;78,9;5;;2100
1235;Toyota Corolla Altis VL AT;Mumbai;2015;68000;Petrol;Automatic;Second;14,28;1798;138,03;5;;9750
1236;Toyota Corolla 1.8 J;Kolkata;2014;40748;Petrol;Manual;First;14,53;1798;138;5;;6300
1237;Audi Q3 2.0 TDI Quattro;Hyderabad;2013;60000;Diesel;Automatic;First;17,32;1968;184;5;;21000
1238;Hyundai i20 Magna Optional 1.4 CRDi;Mumbai;2014;12400;Diesel;Manual;First;21,9;1396;88,8;5;;4650
1239;Mercedes-Benz New C-Class C 220d Avantgarde Edition C;Mumbai;2013;87000;Diesel;Automatic;Second;19,27;2143;167,62;5;;17000
1240;Maruti Ritz VDi;Pune;2013;20248;Diesel;Manual;First;21,1;1248;73,9;5;;4350
1241;Hyundai Creta 1.6 SX Plus Diesel;Coimbatore;2017;52383;Diesel;Manual;First;19,67;1582;126,2;5;;14820
1242;Jaguar XE 2.0L Diesel Prestige;Delhi;2018;1000;Diesel;Automatic;First;13,6;1999;177;5;52,77;40000
1243;Mahindra Xylo D4;Chennai;2016;85000;Diesel;Manual;First;14,95;2489;93,7;7;11,67;6150
1244;Toyota Innova 2.5 G (Diesel) 7 Seater;Ahmedabad;2014;47000;Diesel;Manual;First;12,99;2494;100,6;7;;11250
1245;Toyota Camry 2.5 Hybrid;Pune;2018;17585;Petrol;Automatic;First;19,16;2494;157,7;5;;32000
1246;Audi Q5 3.0 TDI Quattro;Coimbatore;2018;32496;Diesel;Automatic;First;13,22;2967;241,4;5;;45620
1247;Maruti Swift VDI;Kochi;2017;34613;Diesel;Manual;First;28,4;1248;74;5;7,92;6240
1248;Maruti Ertiga VDI Limited Edition;Chennai;2015;153000;Diesel;Manual;First;20,77;1248;88,76;7;;4800
1249;Maruti Swift VXi BSIV;Chennai;2014;54000;Petrol;Manual;Second;16,1;1197;85;5;;4500
1250;Hyundai i10 Sportz;Kochi;2015;16900;Petrol;Manual;First;20,36;1197;78,9;5;;3870
1251;Hyundai i10 Sportz;Delhi;2013;62334;Petrol;Manual;First;20,36;1197;78,9;5;;2750
1252;Maruti Baleno Sigma 1.2;Kochi;2018;23714;Petrol;Manual;First;21,4;1197;83,1;5;;6570
1253;Hyundai Aent Executive;Jaipur;2010;52325;Petrol;Manual;First;16,36;1495;93,7;5;;2000
1254;Honda Brio S MT;Ahmedabad;2012;50000;Petrol;Manual;First;19,4;1198;86,8;5;;3650
1255;Maruti Swift ZDi;Hyderabad;2016;55746;Diesel;Manual;First;22,9;1248;74;5;;6950
1256;Hyundai Xcent 1.2 VTVT S;Bangalore;2014;54000;Petrol;Manual;First;20,14;1197;81,86;5;7,85;5500
1257;Mahindra XUV500 W8 2WD;Kolkata;2013;43000;Diesel;Manual;First;16;2179;140;7;;7000
1258;Mercedes-Benz E-Class E250 CDI Avantgrade;Delhi;2014;40000;Diesel;Automatic;First;13;2143;201,1;5;;24000
1259;Land Rover Freelander 2 TD4 S;Bangalore;2010;125000;Diesel;Automatic;Second;0;2179;115;5;;11000
1260;Mercedes-Benz New C-Class C 220 CDI Avantgarde;Bangalore;2016;51944;Diesel;Automatic;First;19,27;2143;170;5;;32500
1261;Hyundai i20 Asta 1.4 CRDi;Kochi;2015;46950;Diesel;Manual;First;21,27;1396;88,76;5;;6450
1262;Skoda Octavia Elegance 2.0 TDI AT;Mumbai;2015;23000;Diesel;Automatic;First;19,3;1968;141;5;;15750
1263;Honda City 1.5 S MT;Mumbai;2014;54546;Petrol;Manual;First;17;1497;118;5;;5500
1264;Toyota Fortuner 4x2 AT;Kochi;2015;51535;Diesel;Automatic;First;12,55;2982;168,5;7;;19030
1265;Audi Q3 2.0 TDI Quattro;Kolkata;2013;45000;Diesel;Automatic;First;17,32;1968;184;5;;15250
1266;Maruti Alto K10 2010-2014 VXI;Hyderabad;2012;46004;Petrol;Manual;First;20,92;998;67,1;5;;2400
1267;Tata Indigo eCS LX BSIV;Chennai;2011;124000;Diesel;Manual;First;23,03;1396;69;5;;2300
1268;Audi A4 2.0 TDI 177  Premium Plus;Kochi;2014;77395;Diesel;Automatic;First;17,11;1968;174,33;5;;14350
1269;Maruti Alto 800 2016-2019 CNG LXI;Mumbai;2018;10600;CNG;Manual;First;33,44;796;40,3;4;;3500
1270;Honda City i-VTEC CVT VX;Kochi;2018;22974;Petrol;Automatic;First;18;1497;117,3;5;15,55;11970
1271;Hyundai Santro GLS I - Euro II;Jaipur;2009;89000;Petrol;Manual;Second;0;999;null ;5;;1600
1272;Toyota Fortuner 2.8 2WD MT;Ahmedabad;2015;65012;Diesel;Manual;First;14,24;2755;174,5;7;32,45;18900
1273;Hyundai Grand i10 Sportz;Ahmedabad;2017;17125;Petrol;Manual;First;18,9;1197;82;5;;5400
1274;Maruti Eeco 7 Seater Standard;Hyderabad;2015;90413;Petrol;Manual;First;15,1;1196;73;7;4,83;2950
1275;Volkswagen Polo Petrol Highline 1.2L;Bangalore;2013;37000;Petrol;Manual;First;16,47;1198;73,9;5;;5100
1276;Maruti Wagon R LXI Minor;Jaipur;2006;65000;Petrol;Manual;First;18,9;1061;67;5;;1500
1277;Honda City 1.5 V MT;Bangalore;2011;66000;Petrol;Manual;First;17;1497;118;5;;4900
1278;Honda Civic 2010-2013 1.8 S MT;Mumbai;2010;86000;Petrol;Manual;First;14,8;1799;130,2;5;;2900
1279;Honda City 1.5 EXI;Pune;2005;98437;Petrol;Manual;First;13;1493;100;5;;1150
1280;Hyundai i20 1.2 Magna;Kolkata;2010;18000;Petrol;Manual;First;18,5;1197;80;5;;2300
1281;Hyundai Grand i10 CRDi Sportz Celebration Edition;Kochi;2018;35070;Diesel;Manual;First;24;1120;70;5;;5990
1282;Volkswagen Vento Petrol Highline AT;Pune;2011;42000;Petrol;Automatic;Third;14,4;1598;103,6;5;;3400
1283;Hyundai i10 Sportz 1.2;Kolkata;2009;40000;Petrol;Manual;First;20,36;1197;78,9;5;;1700
1284;Hyundai i20 Asta;Kolkata;2009;43000;Petrol;Manual;First;17;1197;80;5;;1990
1285;Chevrolet Beat LS;Pune;2012;65000;Petrol;Manual;First;18,6;1199;79,4;5;;2500
1286;Volkswagen Polo Diesel Highline 1.2L;Hyderabad;2013;74000;Diesel;Manual;First;22,07;1199;73,9;5;;4850
1287;Ford Figo Petrol LXI;Hyderabad;2010;51192;Petrol;Manual;First;15,6;1196;70;5;;2650
1288;Audi TT 2.0 TFSI;Kochi;2014;14262;Petrol;Automatic;First;9,9;1984;207,8;2;;27350
1289;Honda City i DTEC VX;Jaipur;2015;66339;Diesel;Manual;Second;25,1;1498;98,6;5;;6900
1290;Ford Figo Diesel Titanium;Hyderabad;2013;90200;Diesel;Manual;First;20;1399;68,05;5;;3500
1291;Toyota Innova 2.5 ZX Diesel 7 Seater;Delhi;2015;57854;Diesel;Manual;First;12,99;2494;100,6;7;;12500
1292;Maruti Ciaz 1.4 AT Alpha;Delhi;2017;32000;Petrol;Automatic;First;19,12;1373;91,1;5;;9200
1293;Hyundai Grand i10 AT Asta;Mumbai;2015;29631;Petrol;Automatic;First;18,9;1197;82;5;;4900
1294;Honda City 1.3 DX;Delhi;2009;55005;Petrol;Manual;First;12,8;;;;;3200
1295;Ford EcoSport 1.0 Ecoboost Titanium Plus BE;Kochi;2014;54173;Petrol;Manual;First;18,88;999;123,24;5;;5550
1296;Skoda Octavia Ambition 1.8 TSI AT;Ahmedabad;2014;50000;Petrol;Automatic;First;14,7;1798;177,6;5;;13500
1297;Fiat Linea Emotion (Diesel);Kolkata;2010;145000;Diesel;Manual;First;20,4;1248;91,7;5;;2600
1298;Maruti Swift Lxi BSIII;Jaipur;2015;78000;Petrol;Manual;First;16,1;1298;88,2;5;;4500
1299;Land Rover Discovery 4 TDV6 SE;Delhi;2013;65000;Diesel;Automatic;Second;11,8;2993;180;7;;34000
1300;Toyota Innova 2.5 V Diesel 7-seater;Hyderabad;2012;120000;Diesel;Manual;First;12,8;2494;102;7;;12000
1301;Maruti Swift LDI;Mumbai;2015;14000;Diesel;Manual;First;28,4;1248;74;5;7,13;5250
1302;Audi A6 2011-2015 2.0 TDI Premium Plus;Kochi;2014;57456;Diesel;Automatic;First;17,68;1968;174,33;5;;21560
1303;BMW 5 Series 520d Luxury Line;Coimbatore;2012;44450;Diesel;Automatic;First;22,48;1995;190;5;71,82;24680
1304;Hyundai i20 Magna Optional 1.2;Delhi;2013;63777;Petrol;Manual;First;18,5;1197;82,9;5;;3670
1305;BMW X1 M Sport sDrive 20d;Mumbai;2016;31000;Diesel;Automatic;First;17,05;1995;190;5;50,97;29500
1306;Toyota Etios G;Delhi;2012;60000;Petrol;Manual;First;17,6;1496;88,73;5;;3100
1307;Tata Indigo LX;Ahmedabad;2015;78008;Diesel;Manual;First;17;1405;70;5;;2900
1308;Mercedes-Benz M-Class ML 350 4Matic;Bangalore;2014;33000;Diesel;Automatic;Second;0;2987;165;5;;43000
1309;Volkswagen Beetle 2.0;Mumbai;2009;27078;Petrol;Automatic;First;10,98;1984;114,4;4;;15950
1310;Volkswagen Polo GT TDI;Hyderabad;2011;57275;Diesel;Manual;First;19,7;1598;103,6;5;;4500
1311;Hyundai Grand i10 CRDi Magna;Delhi;2014;45000;Diesel;Manual;First;24;1120;70;5;;3490
1312;Maruti Swift VDI BSIV;Delhi;2014;57319;Diesel;Manual;First;25,2;1248;74;5;;4250
1313;Hyundai Verna CRDi 1.4 E;Chennai;2008;121097;Diesel;Manual;Second;24;1396;88,76;5;10,73;1900
1314;BMW 5 Series 2003-2012 525d;Mumbai;2011;89000;Diesel;Automatic;First;16,73;1995;218;5;;16570
1315;Honda City 1.5 S MT;Bangalore;2012;72000;Petrol;Manual;First;17;1497;118;5;;5750
1316;Audi A4 2.0 TDI;Delhi;2013;36000;Diesel;Automatic;Second;16,55;1968;147,51;5;;14000
1317;Fiat Linea Classic Plus 1.3 Multijet;Jaipur;2013;86000;Diesel;Manual;Second;19,5;1248;75;5;9,5;2500
1318;Honda City 1.3 EXI;Ahmedabad;2002;85000;Petrol;Manual;First;13;1343;90;5;;1200
1319;Fiat Petra 1.2 EL;Pune;2005;120000;Petrol;Manual;Second;15,5;1242;null ;5;;850
1320;BMW 3 Series 320d Luxury Line;Kochi;2013;37613;Diesel;Automatic;First;22,69;1995;190;5;52,46;13950
1321;Ford Fiesta 1.4 Duratec EXI;Chennai;2007;100000;Petrol;Manual;First;16,6;1388;68;5;;1600
1322;Tata Nano XTA;Coimbatore;2016;5240;Petrol;Automatic;First;21,9;624;37,48;4;;3600
1323;Maruti Eeco 5 STR With AC Plus HTR CNG;Mumbai;2018;20000;CNG;Manual;First;15,1;1196;73;5;;4500
1324;Maruti Ignis 1.2 Delta;Coimbatore;2019;16862;Petrol;Manual;First;20,89;1197;81,8;5;6,07;6060
1325;Maruti Swift Dzire ZXi;Coimbatore;2013;59254;Petrol;Manual;Second;17,5;1298;85,8;5;;5290
1326;Ford Ecosport 1.5 DV5 MT Titanium;Jaipur;2014;60000;Diesel;Manual;First;22,7;1498;89,84;5;;5750
1327;Maruti Swift 1.3 ZXI;Hyderabad;2015;50295;Petrol;Manual;First;16,1;;;;;5800
1328;Maruti Swift Dzire VXI;Coimbatore;2014;47674;Petrol;Manual;First;19,1;1197;85,8;5;;5720
1329;Hyundai i10 Sportz AT;Kochi;2014;61517;Petrol;Automatic;First;16,95;1197;78,9;5;;4390
1330;Mahindra XUV500 W6 2WD;Coimbatore;2016;62946;Diesel;Manual;First;15,1;2179;140;7;;11050
1331;Hyundai i20 Magna 1.4 CRDi;Delhi;2015;66823;Diesel;Manual;Second;22,54;1396;88,73;5;;4830
1332;Maruti Wagon R CNG LXI;Pune;2013;79494;CNG;Manual;First;33,54;998;67,04;5;5,54;2960
1333;Hyundai i20 Asta 1.4 CRDi;Chennai;2012;107000;Diesel;Manual;Second;21,27;1396;88,76;5;;4500
1334;BMW 7 Series 730Ld;Mumbai;2011;55000;Diesel;Automatic;Second;16,46;2993;258;5;;19500
1335;Skoda Rapid 1.6 MPI AT Style Plus;Mumbai;2017;24000;Petrol;Automatic;First;14,3;1598;103,52;5;;8750
1336;Audi Q7 45 TDI Quattro Technology;Mumbai;2016;20002;Diesel;Automatic;First;14,75;2967;245;7;1,04 Cr;67000
1337;Honda City i VTEC VX;Kochi;2016;54317;Petrol;Manual;First;17,4;1497;117,3;5;;8400
1338;Hyundai Xcent 1.2 Kappa SX;Mumbai;2016;10200;Petrol;Manual;First;19,1;1197;82;5;;4990
1339;Honda City i DTec E;Coimbatore;2016;24337;Diesel;Manual;First;26;1498;98,6;5;;8180
1340;Honda Brio S Option MT;Pune;2012;79000;Petrol;Manual;First;18,4;1198;86,8;5;;2900
1341;Maruti Ciaz ZDi Plus SHVS;Jaipur;2015;40500;Diesel;Manual;First;28,09;1248;88,5;5;;7100
1342;Maruti Swift Dzire VDI Optional;Pune;2016;23000;Diesel;Manual;First;26,59;1248;74;5;;7050
1343;Honda CR-V 2.4L 4WD AT;Pune;2015;63050;Petrol;Automatic;First;11,1;2354;158,8;5;;17500
1344;Toyota Corolla Altis 2008-2013 1.8 VL AT;Mumbai;2008;78000;Petrol;Automatic;Second;14,53;1794;138,1;5;;3410
1345;Maruti Baleno Vxi;Pune;2005;70000;Petrol;Manual;First;0;1590;null ;5;;1300
1346;Honda City 1.5 V MT;Coimbatore;2012;66245;Petrol;Manual;First;17;1497;118;5;;5680
1347;Mahindra Scorpio LX BS IV;Bangalore;2007;74112;Diesel;Manual;First;12,05;2179;120;9;;4100
1348;Skoda Laura 1.8 TSI Ambiente;Delhi;2011;87670;Petrol;Manual;First;13,4;1798;157,8;5;;4000
1349;BMW 3 Series 320d Sport Line;Hyderabad;2015;10000;Diesel;Automatic;First;18,88;1995;184;5;;30000
1350;Maruti SX4 Zxi BSIII;Chennai;2007;62493;Petrol;Manual;First;15;1586;104,68;5;;1800
1351;Maruti Ciaz VXi Plus;Kochi;2015;44620;Petrol;Manual;First;20,73;1373;91,1;5;;6930
1352;Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel;Bangalore;2012;66538;Diesel;Automatic;First;10,2;4367;308;7;;70000
1353;Toyota Innova 2.5 G (Diesel) 7 Seater BS IV;Ahmedabad;2013;60000;Diesel;Manual;First;12,99;2494;100;7;;7900
1354;Hyundai Santro Xing GL;Kochi;2011;20842;Petrol;Manual;First;0;1086;62;5;;2780
1355;Hyundai Santa Fe 4WD AT;Chennai;2014;110000;Diesel;Automatic;First;13,01;2199;194,3;7;;14400
1356;Mercedes-Benz New C-Class C250 Avantgarde;Mumbai;2011;45000;Petrol;Automatic;Second;11,74;1796;186;5;;13500
1357;Maruti Wagon R LXI CNG;Mumbai;2014;40000;CNG;Manual;Second;26,6;998;58,16;5;;3150
1358;Maruti Alto LXi;Coimbatore;2012;49008;Petrol;Manual;First;19,7;796;46,3;5;;2880
1359;Maruti Alto 800 2016-2019 LXI;Kolkata;2016;31000;Petrol;Manual;First;24,7;796;47,3;5;;2150
1360;Nissan Sunny 2011-2014 XV;Pune;2013;8000;Petrol;Manual;First;16,95;1498;97,7;5;;3750
1361;Maruti Alto 800 2016-2019 VXI;Mumbai;2019;171;Petrol;Manual;First;24,7;796;47,3;5;;3600
1362;Maruti Alto K10 VXI;Kolkata;2018;2100;Petrol;Manual;First;24,07;998;67,1;5;4,33;3600
1363;Hyundai Grand i10 1.2 Kappa Sportz AT;Coimbatore;2018;20667;Petrol;Automatic;First;18,9;1197;81,86;5;8,63;7550
1364;Honda Mobilio S i DTEC;Kolkata;2015;50000;Diesel;Manual;First;24,2;1498;98,6;7;;4700
1365;Tata Manza Aqua Quadrajet;Jaipur;2010;100030;Diesel;Manual;Second;18,8;1248;90;5;;1600
1366;Chevrolet Optra Magnum 2.0 LT;Pune;2011;75372;Diesel;Manual;First;16,52;1991;123,7;5;;3340
1367;Honda City i VTEC CVT VX;Kochi;2016;60475;Petrol;Automatic;First;18;1497;117,3;5;;9100
1368;Hyundai Grand i10 1.2 Kappa Sportz;Kochi;2019;18453;Petrol;Manual;First;18,9;1197;81,86;5;6,68;6170
1369;Hyundai Verna CRDi 1.6 SX;Hyderabad;2008;96578;Diesel;Manual;First;22;1582;126,2;5;14,07;2500
1370;Nissan Micra XL;Kolkata;2016;31001;Petrol;Manual;First;18,44;1198;75;5;;3000
1371;Hyundai Verna 1.6 SX;Jaipur;2012;65900;Diesel;Manual;First;22,32;1582;126,32;5;;5750
1372;Hyundai Creta 1.6 VTVT E Plus;Bangalore;2017;26246;Petrol;Manual;First;15,29;1591;121,3;5;;10750
1373;Maruti Wagon R VXI BS IV;Jaipur;2013;62700;Petrol;Manual;Second;20,51;998;67,04;5;;2850
1374;Honda Aord 2.4 Elegance A/T;Chennai;2008;90000;Petrol;Automatic;First;10,2;2354;180;5;;6500
1375;Honda City 1.5 S AT;Bangalore;2016;36000;Petrol;Automatic;First;16,8;1497;118;5;;9450
1376;Maruti Baleno Alpha 1.3;Delhi;2016;46000;Diesel;Manual;First;27,39;1248;74;5;;6750
1377;Honda City i DTec V;Coimbatore;2017;73003;Diesel;Manual;First;26;1498;98,6;5;;7750
1378;Hyundai i20 Era 1.4 CRDi;Kochi;2014;46566;Diesel;Manual;First;22,54;1396;88,76;5;;4400
1379;Mercedes-Benz E-Class 2015-2017 E350 Edition E;Jaipur;2015;41493;Diesel;Automatic;First;13;2987;265;5;;42000
1380;Nissan Terrano XV 110 PS;Kochi;2014;103788;Diesel;Manual;First;19,01;1461;108,5;5;;5670
1381;Renault Duster 110PS Diesel RxZ AMT;Bangalore;2016;45000;Diesel;Automatic;First;19,6;1461;108,45;5;15,05;11500
1382;Maruti Wagon R LXI Minor;Pune;2009;120000;Petrol;Manual;First;18,9;998;67,1;5;;1690
1383;Hyundai Getz 1.5 CRDi GVS;Jaipur;2009;97359;Diesel;Manual;Second;17,1;1493;110;5;;1800
1384;Maruti Ritz LXi;Mumbai;2016;62000;Petrol;Manual;First;18,5;1197;85,8;5;;3200
1385;Honda City 1.5 GXI;Pune;2004;115000;Petrol;Manual;Second;0;;;;;1500
1386;BMW 5 Series 520d Sport Line;Kochi;2019;18373;Diesel;Automatic;First;22,48;1995;187,74;5;;45860
1387;Volkswagen Polo 1.2 MPI Highline;Hyderabad;2016;60453;Petrol;Manual;First;16,47;1198;74;5;;5100
1388;Maruti Swift VDI BSIV;Pune;2013;37000;Diesel;Manual;First;17,8;1248;null ;5;;4850
1389;Ford Figo Petrol ZXI;Mumbai;2010;69009;Petrol;Manual;Second;15,6;1196;70;5;;2400
1390;BMW 3 Series 320d Luxury Line;Hyderabad;2013;30000;Diesel;Automatic;First;18,88;1995;184;5;;22000
1391;Hyundai Verna 1.6 SX CRDi (O);Delhi;2012;70707;Diesel;Manual;First;22,32;1582;126,32;5;;4280
1392;Renault Duster 85PS Diesel RxL;Coimbatore;2015;64677;Diesel;Manual;First;20,45;1461;83,8;5;;5670
1393;Hyundai Grand i10 1.2 Kappa Magna AT;Bangalore;2018;3000;Petrol;Automatic;First;18,9;1197;81,86;5;7,98;6200
1394;BMW X1 sDrive20d;Bangalore;2013;49000;Diesel;Automatic;Second;17,05;1995;184;5;;14490
1395;Maruti Ritz VDi;Pune;2010;71000;Diesel;Manual;First;21,1;1248;73,9;5;;3000
1396;Hyundai i10 Era 1.1 iTech SE;Jaipur;2010;52000;Petrol;Manual;Second;19,81;1086;68,05;5;;2250
1397;BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater;Kochi;2016;35659;Diesel;Automatic;First;15,97;2993;258;7;;43780
1398;Honda City V MT Exclusive;Kochi;2019;5377;Petrol;Manual;First;16,8;1497;116,3;5;;11450
